municipio;uf;ano;Despesas Exceto Intraorçamentárias;Despesas Intraorçamentárias;Outros;01 - Legislativa;04 - Administração;06 - Segurança Pública;08 - Assistência Social;09 - Previdência Social;10 - Saúde;12 - Educação;15 - Urbanismo;17 - Saneamento;20 - Agricultura;23 - Comércio e Serviços;26 - Transporte;28 - Encargos Especiais
CARMO;RJ;2014;58050840.95;0.0;3628254.8400000036;2430613.0;10649262.76;0.0;2524228.53;5671431.05;17243409.34;8914542.11;1266603.24;2630077.93;399158.83;1242083.17;953428.46;497747.69
CASIMIRO DE ABREU;RJ;2014;262157477.37;8723909.52;23425473.23999998;6948477.91;48761084.53;1141557.91;8245115.04;6201513.39;79967945.03;37473163.61;29158173.38;15875912.29;997277.2;148440.36;1418302.0;11118951.0
CONCEICAO DE MACABU;RJ;2014;46946484.16;2781723.72;3182156.499999985;0.0;12230964.24;0.0;1768646.04;3727822.28;12582066.97;11154776.71;2885809.17;8490.0;13899.63;2117670.0;0.0;55906.34
CORDEIRO;RJ;2014;56143000.23;0.0;1701046.8999999985;2228789.2;7738814.92;79706.08;741245.41;5177473.83;16091400.03;13430272.14;5985385.22;76000.0;551142.42;2341724.08;0.0;0.0
DUAS BARRAS;RJ;2014;41416562.09;0.0;1549834.1099999994;1847438.43;5043172.52;421088.1;1169087.26;4272117.16;10986547.29;9381221.59;2079545.32;0.0;1469048.59;1030759.64;1585509.39;581192.69
DUQUE DE CAXIAS;RJ;2014;1832163504.91;0.0;12296053.799999952;51463600.34;87623630.66;18177453.13;16274438.18;260328167.76;512545919.44;545182894.69;93612471.2;102517614.64;0.0;48940.29;3156382.11;128935938.67
ENGENHEIRO PAULO DE FRONTIN;RJ;2014;44648845.01;0.0;1957947.5;1831316.15;10825970.26;0.0;1451311.85;0.0;12417701.23;10459057.58;4575126.35;100122.08;0.0;835035.33;0.0;195256.68
GUAPIMIRIM;RJ;2014;146628921.51;0.0;52645.64999997616;937355.07;42108722.36;0.0;1377609.75;0.0;44038455.4;34612226.16;23501907.12;0.0;0.0;0.0;0.0;0.0
IGUABA GRANDE;RJ;2014;72344479.27;0.0;1577452.280000016;3315827.16;18710439.13;64860.32;3102476.07;374253.33;20279453.54;17312747.4;6201342.16;0.0;0.0;0.0;0.0;1405627.88
ITABORAI;RJ;2014;644356830.36;10312101.92;30964931.149999976;11220211.69;110157461.77;408422.89;4584736.59;30458437.39;192564300.54;188297828.75;82997488.34;64494.33;117995.43;8123.0;2824500.41;0.0
ITAGUAI;RJ;2014;587414474.1;30188880.08;32010077.04000008;3645064.25;199497905.09;347416.54;10367228.74;0.0;120252823.91;159081595.87;38524082.91;131850.58;0.0;18000.0;35224173.72;18503135.53
ITALVA;RJ;2014;43488641.22;1866337.61;6751692.859999999;1891272.07;4124987.9;1374752.08;1726658.6;3088513.9;12195381.96;9378500.32;1843316.61;0.0;1746461.52;0.0;0.0;1233441.01
ITAOCARA;RJ;2014;49080197.46;1448734.31;1934577.7300000042;0.0;6159062.01;0.0;2302811.67;472925.44;16570631.08;10997226.42;7506891.63;0.0;690497.08;1671711.96;1595721.47;626875.28
ITAPERUNA;RJ;2014;226426695.96;1323745.55;3388012.7099999785;5689394.13;26096752.0;490012.57;6079756.0;7330333.65;107681754.12;45701851.95;19802709.74;1619345.82;772449.11;527413.0;956803.58;1613853.13
ITATIAIA;RJ;2014;125094070.98;2054123.1;4096489.6400000006;5357123.85;34955544.05;124686.88;1619404.36;2548549.03;29734067.19;29088212.16;16806460.03;532902.22;9800.0;631378.0;0.0;1643576.67
JAPERI;RJ;2014;162851456.61;5941598.75;9138339.77000001;4623152.03;11095945.03;1492481.04;3690932.35;5739188.47;43255454.18;66483325.49;22636850.41;0.0;496454.65;10800.0;0.0;130131.94
LAJE DO MURIAE;RJ;2014;30088550.14;1198454.24;1893880.8799999952;1631206.98;2956450.53;0.0;2044388.09;1779671.85;8725742.57;5656551.98;4983905.44;0.0;518416.15;836114.57;94250.43;166424.91
