municipio;ano;Royalties Estado;Cessão Onerosa - PBAM;Royalties - ANP;Royalties - CFH;Royalties - CFM;Royalties - FEP;Royalties - PEA;Total Geral
VALENCA;2020;3142053.33;0;14556288.78;0;214837.27;489014.41;0;18402193.79
VARRE-SAI;2016;509494.71;0;3676133.98;0;41.60;75210.36;0;4260880.65
VARRE-SAI;2017;683394.15;0;4909819.56;0;;99009.82;0;5692223.53
VARRE-SAI;2018;1065133.23;0;7596107.02;0;;152034.41;0;8813274.66
VARRE-SAI;2019;1149475.14;515330.77;8354275.49;0;;151852.56;0;10170933.96
VARRE-SAI;2020;1260871.98;0;8562522.71;0;;150465.94;0;9973860.63
VASSOURAS;2016;825438.37;0;5330394.35;0;8518.07;150420.71;0;6314771.50
VASSOURAS;2017;1142786.88;0;7119243.27;0;11029.46;198019.64;0;8471079.25
VASSOURAS;2018;1845078.00;0;18975508.30;0;4508.01;304068.84;0;21129163.15
VASSOURAS;2019;1932247.26;1030661.53;19963036.82;0;5815138.90;303705.10;0;29044789.61
VASSOURAS;2020;2016038.05;0;19674858.52;0;2028034.41;300931.96;0;24019862.94
VOLTA REDONDA;2016;6802750.76;0;9877179.46;0;90109.67;477699.56;0;17247739.45
VOLTA REDONDA;2017;8614407.52;0;13143468.60;0;58501.74;629284.34;0;22445662.20
VOLTA REDONDA;2018;12560555.68;0;17826579.94;0;35934.13;965972.16;0;31389041.91
VOLTA REDONDA;2019;13921043.44;3370025.63;18428867.47;0;1565470.22;993045.71;0;38278452.47
VOLTA REDONDA;2020;15245120.56;0;18298441.56;0;1750767.91;984199.77;0;36278529.80

